INSTNM,RANKING,PERCENTILE,STABBR,SFRatio,REGION,CCSIZSET,ACTUAL SIZE (S/M/L),LOCALE,URBANIZATION,SAT_AVG,ADM_RATE,Ave. Net Price
Princeton University,1,99.70%,NJ,6,2,14,2,21,2,1491,0.0744,7103
Harvard University,2,99.30%,MA,7,1,17,3,12,2,1501,0.0596,14068
University of Chicago,3,99.00%,IL,6,3,17,3,11,1,1505,0.0876,26280
Yale University,3,99.00%,CT,6,1,17,3,12,2,1493,0.063,20168
Stanford University,5,98.30%,CA,5,8,17,3,21,2,1465,0.0509,14559
Massachusetts Institute of Technology,7,97.70%,MA,8,1,17,3,12,2,1500,0.0788,23547
University of Pennsylvania,8,97.30%,PA,6,2,16,3,11,1,1452,0.1037,24370
Duke University,8,97.30%,NC,7,5,17,3,12,2,1454,0.1141,25369
Johns Hopkins University,10,96.70%,MD,7,2,17,3,11,1,1439,0.1608,29911
Dartmouth College,11,96.30%,NH,7,1,14,2,33,3,1444,0.115,27143
California Institute of Technology,12,96.00%,CA,3,8,10,1,12,2,1545,0.0883,25308
Northwestern University,12,96.00%,IL,7,3,16,3,13,2,1461,0.1311,27291
Brown University,14,95.30%,RI,8,1,14,2,12,2,1435,0.0874,24854
Rice University,15,95.00%,TX,6,6,14,2,11,1,1460,0.151,16466
Vanderbilt University,15,95.00%,TN,8,5,17,3,11,1,1481,0.1309,17135
Cornell University,15,95.00%,NY,9,2,17,3,13,2,1422,0.1419,29240
University of Notre Dame,15,95.00%,IN,10,3,17,3,21,2,1450,0.2114,29368
Georgetown University,20,93.30%,DC,10,2,17,3,11,1,1414,0.1735,27506
University of California-Berkeley,20,93.30%,CA,18,8,16,3,12,2,1382,0.1602,13707
Emory University,20,93.30%,GA,8,5,17,3,21,2,1366,0.2682,28901
University of Southern California,23,92.30%,CA,8,8,16,3,11,1,1380,0.1802,28344
University of California-Los Angeles,24,92.00%,CA,17,8,16,3,11,1,1330,0.1856,13399
Carnegie Mellon University,24,92.00%,PA,10,2,17,3,11,1,1436,0.246,31634
University of Virginia,24,92.00%,VA,15,5,16,3,23,2,1357,0.29,17863
University of Michigan-Ann Arbor,27,91.00%,MI,15,3,16,3,12,2,1380,0.3224,15787
Tufts University,27,91.00%,MA,9,1,17,3,21,2,1423,0.1724,28329
University of North Carolina at Chapel Hill,30,90.00%,NC,13,5,17,3,13,2,1328,0.285,13243
Boston College,31,89.70%,MA,12,1,17,3,13,2,1380,0.3391,33464
College of William and Mary,32,89.30%,VA,12,5,14,2,23,2,1373,0.3302,17194
Brandeis University,34,88.70%,MA,10,1,14,2,13,2,1369,0.3522,28004
New York University,36,88.00%,NY,10,2,16,3,11,1,1344,0.3545,36991
Case Western Reserve University,37,87.70%,OH,11,3,17,3,11,1,1375,0.3831,26647
University of California-Santa Barbara,37,87.70%,CA,18,8,16,3,22,2,1253,0.3634,15755
Northeastern University,39,87.00%,MA,14,1,16,3,11,1,1420,0.3222,32715
Boston University,39,87.00%,MA,10,1,17,3,11,1,1300,0.3451,34592
University of California-Irvine,39,87.00%,CA,18,8,16,3,12,2,1168,0.3742,12771
Rensselaer Polytechnic Institute,39,87.00%,NY,13,2,14,2,13,2,1372,0.375,33595
University of California-San Diego,44,85.30%,CA,19,8,16,3,11,1,1313,0.3329,14136
University of Wisconsin-Madison,44,85.30%,WI,18,3,16,3,12,2,1286,0.5694,18397
Lehigh University,44,85.30%,PA,10,2,14,2,13,2,1326,0.3427,31267
University of Illinois at Urbana-Champaign,44,85.30%,IL,18,3,16,3,13,2,1326,0.5904,18375
University of Miami,44,85.30%,FL,12,5,16,3,21,2,1330,0.3818,32297
University of California-Davis,44,85.30%,CA,18,8,16,3,23,2,1226,0.4037,15514
University of Florida,50,83.30%,FL,20,5,15,3,12,2,1273,0.4561,11778
Pepperdine University,50,83.30%,CA,14,8,14,2,21,2,1234,0.3546,26876
Villanova University,50,83.30%,PA,12,2,14,2,21,2,1313,0.4933,35565
University of Washington,54,82.00%,WA,20,8,15,3,11,1,1240,0.5521,13566
Ohio State University-Main Campus,54,82.00%,OH,19,3,16,3,11,1,1292,0.5296,18068
University of Texas-Austin,56,81.30%,TX,18,6,15,3,11,1,1296,0.3966,17152
George Washington University,56,81.30%,DC,13,2,17,3,11,1,1297,0.4379,30057
University of Georgia,56,81.30%,GA,18,5,16,3,12,2,1248,0.5572,12208
Southern Methodist University,56,81.30%,TX,11,6,14,2,21,2,1316,0.524,32128
Fordham University,60,80.00%,NY,14,2,17,3,11,1,1254,0.4812,33972
Syracuse University,60,80.00%,NY,15,2,17,3,12,2,1184,0.5323,29658
University of Connecticut,60,80.00%,CT,16,1,17,3,21,2,1246,0.4996,20337
Yeshiva University,66,78.00%,NY,8,2,14,2,11,1,1221,0.818,24098
Clemson University,66,78.00%,SC,17,5,16,3,21,2,1261,0.5152,16306
University of Minnesota-Twin Cities,71,76.30%,MN,17,4,15,3,11,1,1271,0.4535,16954
Baylor University,71,76.30%,TX,15,6,16,3,12,2,1227,0.5536,32741
Stevens Institute of Technology,71,76.30%,NJ,10,2,14,2,21,2,1346,0.4378,28296
American University,74,75.30%,DC,12,2,16,3,11,1,1252,0.4584,36074
University of Massachusetts-Amherst,74,75.30%,MA,18,1,17,3,21,2,1217,0.6139,18819
University of California-Santa Cruz,79,73.70%,CA,18,8,17,3,13,2,1149,0.5572,16086
University of Delaware,79,73.70%,DE,15,2,16,3,21,2,1194,0.6783,16178
